ID,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
adrieje01,Jeff Adrien,PF,24,GSW,23,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0.1,0.1,0.2,.051,-3.9,-1.2,-5.1,-0.2,2011
afflaar01,Arron Afflalo,SG,25,DEN,69,2324,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,.128,2.4,-0.2,2.1,2.4,2011
agerma01,Maurice Ager,SG,26,MIN,4,29,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,0.0,0.0,0.0,-0.015,-2.7,-3.6,-6.3,0.0,2011
ajincal01,Alexis Ajinca,C,22,TOT,34,340,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0.0,0.4,0.4,.052,-3.1,-0.3,-3.4,-0.1,2011
ajincal01,Alexis Ajinca,C,22,DAL,10,75,12.8,.435,.219,.094,8.1,18.0,13.3,4.3,2.1,5.1,2.9,21.4,0.0,0.1,0.1,.084,-3.6,1.5,-2.1,0.0,2011
ajincal01,Alexis Ajinca,C,22,TOR,24,265,12.0,.530,.267,.149,5.2,22.5,13.6,4.9,1.6,4.0,13.6,21.1,0.0,0.2,0.2,.042,-2.9,-0.8,-3.8,-0.1,2011
alabiso01,Solomon Alabi,C,22,TOR,12,59,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0.0,-0.2,-0.142,-8.2,0.0,-8.2,-0.1,2011
aldrico01,Cole Aldrich,C,22,OKC,18,142,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0.0,0.2,0.2,.066,-3.4,2.6,-0.8,0.0,2011
aldrila01,LaMarcus Aldridge,PF,25,POR,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,.166,1.9,0.5,2.4,3.5,2011
allenma01,Malik Allen,PF,32,ORL,18,178,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,.046,-5.3,1.4,-3.9,-0.1,2011
allenra02,Ray Allen,SG,35,BOS,80,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,.166,3.2,0.4,3.6,4.1,2011
allento01,Tony Allen,SG,29,MEM,72,1494,18.3,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,.152,0.7,2.9,3.6,2.1,2011
aminual01,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,.022,-3.1,0.1,-3.0,-0.4,2011
amundlo01,Lou Amundson,PF,28,GSW,46,691,11.5,.452,.000,.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,.044,-4.0,-0.9,-4.9,-0.5,2011
anderch01,Chris Andersen,C,32,DEN,45,732,19.0,.636,.007,.985,12.2,22.1,17.3,4.0,1.6,6.0,11.3,13.5,1.9,1.2,3.2,.207,0.2,3.1,3.3,1.0,2011
anderda03,David Andersen,PF,30,TOT,40,373,10.9,.513,.190,.182,6.4,21.0,13.6,5.6,0.7,2.0,14.4,19.1,-0.1,0.3,0.3,.032,-4.0,-1.3,-5.3,-0.3,2011
anderda03,David Andersen,PF,30,TOR,11,150,13.8,.559,.213,.149,6.2,21.1,13.4,7.3,1.0,1.5,13.8,17.3,0.1,0.1,0.2,.063,-1.7,-1.6,-3.3,0.0,2011
anderda03,David Andersen,PF,30,NOH,29,223,8.9,.484,.176,.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,-0.2,0.3,0.1,.012,-5.4,-1.2,-6.6,-0.3,2011
anderja01,James Anderson,SF,21,SAS,26,286,8.5,.529,.568,.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,0.1,0.2,0.3,.051,-1.9,-1.5,-3.4,-0.1,2011
anderry01,Ryan Anderson,PF,22,ORL,64,1424,19.0,.591,.650,.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,4.0,2.5,6.4,.216,4.1,0.2,4.4,2.3,2011
anthoca01,Carmelo Anthony,SF,26,TOT,77,2751,21.7,.557,.167,.403,5.0,18.3,11.8,14.7,1.2,1.3,10.4,32.0,5.4,2.5,7.9,.138,1.8,-1.3,0.5,1.8,2011
anthoca01,Carmelo Anthony,SF,26,DEN,50,1774,21.2,.547,.130,.431,5.2,19.3,12.4,14.3,1.2,1.3,11.0,32.5,2.8,1.9,4.7,.127,0.9,-0.8,0.2,1.0,2011
anthoca01,Carmelo Anthony,SF,26,NYK,27,977,22.8,.575,.233,.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31.0,2.6,0.6,3.2,.157,3.5,-2.3,1.2,0.8,2011
anthojo01,Joel Anthony,C,28,MIA,75,1463,7.3,.583,.000,.737,9.0,12.4,10.8,2.2,0.4,5.0,21.5,5.3,1.2,2.1,3.3,.107,-2.2,3.1,0.9,1.1,2011
arenagi01,Gilbert Arenas,PG,29,TOT,70,1796,10.8,.471,.446,.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,-1.6,2.2,0.5,.014,-1.2,-0.2,-1.5,0.2,2011
arenagi01,Gilbert Arenas,PG,29,WAS,21,726,14.0,.505,.439,.203,0.9,10.4,5.5,27.5,2.1,1.3,16.5,26.2,0.0,0.4,0.4,.025,1.2,-1.7,-0.6,0.3,2011
arenagi01,Gilbert Arenas,PG,29,ORL,49,1070,8.6,.444,.450,.213,1.8,11.0,6.5,23.8,2.2,0.7,19.3,23.7,-1.6,1.7,0.2,.007,-2.8,0.8,-2.1,0.0,2011
arizatr01,Trevor Ariza,SF,25,NOH,75,2600,11.3,.487,.356,.259,2.8,16.4,9.5,10.0,2.5,1.0,12.2,17.7,-0.4,3.8,3.4,.062,-1.2,2.3,1.1,2.0,2011
armsthi01,Hilton Armstrong,C,26,TOT,53,488,8.8,.508,.053,.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,-0.1,0.6,0.5,.045,-4.7,1.5,-3.1,-0.1,2011
armsthi01,Hilton Armstrong,C,26,WAS,41,412,8.6,.519,.047,.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,-0.1,0.4,0.4,.043,-4.5,1.2,-3.4,-0.1,2011
arroyca01,Hilton Armstrong,C,26,ATL,12,76,10.1,.457,.083,.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,-0.1,0.1,0.1,.054,-5.5,3.5,-2.0,0.0,2011
arroyca01,Carlos Arroyo,PG,31,TOT,64,1185,9.0,.528,.253,.172,2.2,7.9,5.2,15.8,0.9,0.1,17.0,14.0,0.5,1.1,1.7,.068,-2.1,-1.0,-3.1,-0.3,2011
arroyca01,Carlos Arroyo,PG,31,MIA,49,995,9.5,.541,.269,.147,1.6,7.5,4.8,15.3,0.7,0.1,14.5,13.9,0.8,0.9,1.6,.078,-1.5,-1.5,-3.0,-0.2,2011
arthuda01,Carlos Arroyo,PG,31,BOS,15,190,6.7,.447,.143,.343,4.8,9.8,7.4,18.6,2.0,0.0,29.7,14.5,-0.2,0.3,0.1,.016,-5.1,1.3,-3.8,-0.1,2011
asikom01,Darrell Arthur,PF,22,MEM,80,1609,15.7,.534,.010,.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,.113,-1.6,0.3,-1.3,0.3,2011
augusdj01,Omer Asik,C,24,CHI,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.5,2.2,2.7,.130,-3.5,3.0,-0.5,0.4,2011
babbilu01,D.J. Augustin,PG,23,CHA,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,.108,2.4,-2.8,-0.3,1.1,2011
balkmre01,Luke Babbitt,SF,21,POR,24,137,1.0,.305,.291,.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,-0.6,0.1,-0.4,-0.143,-9.6,-2.5,-12.0,-0.3,2011
balkmre01,Renaldo Balkman,SF,26,TOT,8,62,9.3,.542,.154,.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,0.1,0.1,0.1,.114,-1.9,1.0,-0.9,0.0,2011
balkmre01,Renaldo Balkman,SF,26,DEN,5,44,12.8,.604,.000,.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,0.1,0.1,0.2,.182,0.0,2.7,2.7,0.1,2011
banksma01,Renaldo Balkman,SF,26,NYK,3,18,0.7,.375,.500,.000,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,0.0,0.0,0.0,-0.050,-6.6,-3.1,-9.6,0.0,2011
barbole01,Marcus Banks,PG,29,TOR,3,22,6.8,.543,.000,4.000,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,0.0,0.0,0.0,.011,-5.0,-2.8,-7.8,0.0,2011
bareajo01,Leandro Barbosa,SG,28,TOR,58,1395,15.3,.539,.326,.210,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,.052,1.4,-3.5,-2.1,0.0,2011
bargnan01,J.J. Barea,PG,26,DAL,81,1669,14.8,.535,.291,.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,1.9,1.4,3.2,.093,0.6,-1.7,-1.1,0.4,2011
barnema02,Andrea Bargnani,C,25,TOR,66,2353,16.4,.533,.190,.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,.052,0.2,-2.9,-2.7,-0.4,2011
barroea01,Matt Barnes,SF,30,LAL,53,1020,14.6,.569,.384,.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,1.4,1.6,3.0,.142,0.6,1.2,1.8,1.0,2011
barroea01,Earl Barron,C,29,TOT,21,305,6.2,.361,.000,.242,12.1,17.2,14.6,5.8,1.4,1.5,12.7,18.9,-0.6,0.3,-0.2,-0.039,-6.3,-0.3,-6.6,-0.3,2011
barroea01,Earl Barron,C,29,PHO,12,183,1.5,.301,.000,.392,10.1,15.2,12.6,3.0,1.7,1.6,15.5,17.5,-0.5,0.1,-0.4,-0.106,-8.3,-0.2,-8.5,-0.3,2011
barroea01,Earl Barron,C,29,MIL,7,85,17.3,.475,.000,.054,16.0,14.1,15.1,9.2,1.3,1.9,5.0,22.0,0.1,0.1,0.2,.130,-0.7,-0.1,-0.9,0.0,2011
bassbr01,Earl Barron,C,29,POR,2,37,3.8,.295,.000,.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,-0.1,0.0,-0.1,-0.093,-9.2,-0.9,-10.1,-0.1,2011
battito01,Brandon Bass,PF,25,ORL,76,1980,15.9,.571,.003,.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,.153,-1.4,0.9,-0.5,0.7,2011
battish01,Tony Battie,C,34,PHI,38,377,9.5,.489,.031,.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,0.0,0.6,0.6,.075,-5.3,0.8,-4.5,-0.2,2011
battish01,Shane Battier,SF,32,TOT,82,2375,12.3,.567,.525,.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,2.9,2.2,5.1,.103,0.7,1.8,2.5,2.7,2011
battish01,Shane Battier,SF,32,HOU,59,1818,12.9,.577,.551,.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,2.3,1.7,4.0,.105,1.0,1.9,2.9,2.2,2011
