New York Knicks,6,32
Los Angeles Lakers,7,17
Chicago Bulls,57,42
San Antonio Spurs,78,67
Philadelphia 76ers,0,10
Detroit Pistons,21,44
Boston Celtics,63,48
Miami Heat,27,48
Orlando Magic,11,35
Portland Trail Blazers,40,44
Golden State Warriors,82,73
Memphis Grizzlies,65,42
Washington Wizards,37,41
Utah Jazz,45,40
Dallas Mavericks,58,42
Sacramento Kings,14,33
Los Angeles Clippers,75,53
Oklahoma City Thunder,49,55
Charlotte Hornets,18,48
Milwaukee Bucks,32,33
Toronto Raptors,43,56
Houston Rockets,71,41
Phoenix Suns,28,23
Minnesota Timberwolves,2,29
New Orleans Pelicans,53,30
Cleveland Cavaliers,74,57
Atlanta Hawks,69,48
Brooklyn Nets,40,21
Indiana Pacers,46,45
Denver Nuggets,19,33
