New York Knicks,23,32,#F58426
Los Angeles Lakers,21,17,#552582
Chicago Bulls,49,42,#CE1141
San Antonio Spurs,60,67,#000000
Philadelphia 76ers,22,10,#006BB6
Detroit Pistons,31,44,#001F70
Boston Celtics,48,48,#008348
Miami Heat,39,48,#98002E
Orlando Magic,26,35,#007DC5
Portland Trail Blazers,44,44,#F0163A
Golden State Warriors,60,73,#006BB6
Memphis Grizzlies,50,42,#23375B
Washington Wizards,44,41,#002566
Utah Jazz,46,40,#002B5C
Dallas Mavericks,45,42,#20385B
Sacramento Kings,33,33,#724C9F
Los Angeles Clippers,51,53,#ED174C
Oklahoma City Thunder,42,55,#007DC3
Charlotte Hornets,26,48,#1D1160
Milwaukee Bucks,44,33,#00471B
Toronto Raptors,44,56,#CE1141
Houston Rockets,50,41,#CE1141
Phoenix Suns,37,23,#1D1160
Minnesota Timberwolves,23,29,#005083
New Orleans Pelicans,47,30,#002B5C
Cleveland Cavaliers,53,57,#860038
Atlanta Hawks,52,48,#E03A3E
Brooklyn Nets,42,21,#000000
Indiana Pacers,43,45,#00275D
Denver Nuggets,31,33,#4FA8FF
