New York Knicks,13,32
Los Angeles Lakers,6,17
Chicago Bulls,59,42
San Antonio Spurs,73,67
Philadelphia 76ers,4,10
Detroit Pistons,13,44
Boston Celtics,49,48
Miami Heat,29,48
Orlando Magic,6,35
Portland Trail Blazers,52,44
Golden State Warriors,77,73
Memphis Grizzlies,52,42
Washington Wizards,54,41
Utah Jazz,44,40
Dallas Mavericks,57,42
Sacramento Kings,13,33
Los Angeles Clippers,74,53
Oklahoma City Thunder,46,55
Charlotte Hornets,14,48
Milwaukee Bucks,36,33
Toronto Raptors,56,56
Houston Rockets,58,41
Phoenix Suns,29,23
Minnesota Timberwolves,11,29
New Orleans Pelicans,50,30
Cleveland Cavaliers,67,57
Atlanta Hawks,74,48
Brooklyn Nets,50,21
Indiana Pacers,39,45
Denver Nuggets,9,33
