New York Knicks,31,32
Los Angeles Lakers,29,17
Chicago Bulls,47,42
San Antonio Spurs,53,67
Philadelphia 76ers,29,10
Detroit Pistons,31,44
Boston Celtics,44,48
Miami Heat,37,48
Orlando Magic,31,35
Portland Trail Blazers,46,44
Golden State Warriors,53,73
Memphis Grizzlies,45,42
Washington Wizards,45,41
Utah Jazz,41,40
Dallas Mavericks,49,42
Sacramento Kings,31,33
Los Angeles Clippers,53,53
Oklahoma City Thunder,43,55
Charlotte Hornets,31,48
Milwaukee Bucks,39,33
Toronto Raptors,46,56
Houston Rockets,47,41
Phoenix Suns,38,23
Minnesota Timberwolves,30,29
New Orleans Pelicans,44,30
Cleveland Cavaliers,49,57
Atlanta Hawks,52,48
Brooklyn Nets,43,21
Indiana Pacers,41,45
Denver Nuggets,29,33
