New York Knicks,4,32,#F58426
Los Angeles Lakers,4,17,#552582
Chicago Bulls,65,42,#CE1141
San Antonio Spurs,80,67,#000000
Philadelphia 76ers,0,10,#006BB6
Detroit Pistons,14,44,#001F70
Boston Celtics,47,48,#008348
Miami Heat,23,48,#98002E
Orlando Magic,9,35,#007DC5
Portland Trail Blazers,45,44,#F0163A
Golden State Warriors,80,73,#006BB6
Memphis Grizzlies,64,42,#23375B
Washington Wizards,48,41,#002566
Utah Jazz,45,40,#002B5C
Dallas Mavericks,42,42,#20385B
Sacramento Kings,18,33,#724C9F
Los Angeles Clippers,57,53,#ED174C
Oklahoma City Thunder,41,55,#007DC3
Charlotte Hornets,10,48,#1D1160
Milwaukee Bucks,36,33,#00471B
Toronto Raptors,37,56,#CE1141
Houston Rockets,47,41,#CE1141
Phoenix Suns,22,23,#1D1160
Minnesota Timberwolves,3,29,#005083
New Orleans Pelicans,56,30,#002B5C
Cleveland Cavaliers,69,57,#860038
Atlanta Hawks,65,48,#E03A3E
Brooklyn Nets,42,21,#000000
Indiana Pacers,47,45,#00275D
Denver Nuggets,15,33,#4FA8FF
