New York Knicks,19,32,#F58426
Los Angeles Lakers,19,17,#552582
Chicago Bulls,51,42,#CE1141
San Antonio Spurs,60,67,#000000
Philadelphia 76ers,15,10,#006BB6
Detroit Pistons,27,44,#001F70
Boston Celtics,45,48,#008348
Miami Heat,35,48,#98002E
Orlando Magic,25,35,#007DC5
Portland Trail Blazers,45,44,#F0163A
Golden State Warriors,60,73,#006BB6
Memphis Grizzlies,51,42,#23375B
Washington Wizards,45,41,#002566
Utah Jazz,44,40,#002B5C
Dallas Mavericks,42,42,#20385B
Sacramento Kings,30,33,#724C9F
Los Angeles Clippers,48,53,#ED174C
Oklahoma City Thunder,42,55,#007DC3
Charlotte Hornets,25,48,#1D1160
Milwaukee Bucks,41,33,#00471B
Toronto Raptors,42,56,#CE1141
Houston Rockets,45,41,#CE1141
Phoenix Suns,33,23,#1D1160
Minnesota Timberwolves,19,29,#005083
New Orleans Pelicans,48,30,#002B5C
Cleveland Cavaliers,53,57,#860038
Atlanta Hawks,51,48,#E03A3E
Brooklyn Nets,43,21,#000000
Indiana Pacers,45,45,#00275D
Denver Nuggets,26,33,#4FA8FF
