Miami Heat,105,Dallas Mavericks,94,2012
Los Angeles Clippers,105,Golden State Warriors,86,2012
Chicago Bulls,88,Los Angeles Lakers,87,2012
Boston Celtics,104,New York Knicks,106,2012
Orlando Magic,89,Oklahoma City Thunder,97,2012
Milwaukee Bucks,95,Charlotte Bobcats,96,2012
Toronto Raptors,104,Cleveland Cavaliers,96,2012
Denver Nuggets,115,Dallas Mavericks,93,2012
Chicago Bulls,91,Golden State Warriors,99,2012
Detroit Pistons,79,Indiana Pacers,91,2012
Oklahoma City Thunder,104,Minnesota Timberwolves,100,2012
Houston Rockets,95,Orlando Magic,104,2012
New Orleans Hornets,85,Phoenix Suns,84,2012
Philadelphia 76ers,103,Portland Trail Blazers,107,2012
Los Angeles Lakers,91,Sacramento Kings,100,2012
Memphis Grizzlies,82,San Antonio Spurs,95,2012
New Jersey Nets,90,Washington Wizards,84,2012
Utah Jazz,71,Los Angeles Lakers,96,2012
Boston Celtics,107,Miami Heat,115,2012
Minnesota Timberwolves,95,Milwaukee Bucks,98,2012
Atlanta Hawks,106,New Jersey Nets,70,2012
Sacramento Kings,79,Portland Trail Blazers,101,2012
Washington Wizards,83,Atlanta Hawks,101,2012
Miami Heat,96,Charlotte Bobcats,95,2012
Utah Jazz,100,Denver Nuggets,117,2012
Cleveland Cavaliers,105,Detroit Pistons,89,2012
New York Knicks,78,Golden State Warriors,92,2012
Oklahoma City Thunder,98,Memphis Grizzlies,95,2012
Boston Celtics,78,New Orleans Hornets,97,2012
Philadelphia 76ers,103,Phoenix Suns,83,2012
Los Angeles Clippers,90,San Antonio Spurs,115,2012
Indiana Pacers,90,Toronto Raptors,85,2012
San Antonio Spurs,85,Houston Rockets,105,2012
New York Knicks,82,Los Angeles Lakers,99,2012
Dallas Mavericks,102,Oklahoma City Thunder,104,2012
New Jersey Nets,78,Orlando Magic,94,2012
Denver Nuggets,102,Portland Trail Blazers,111,2012
Chicago Bulls,108,Sacramento Kings,98,2012
New Jersey Nets,98,Atlanta Hawks,105,2012
Detroit Pistons,85,Boston Celtics,96,2012
Orlando Magic,100,Charlotte Bobcats,79,2012
Toronto Raptors,86,Dallas Mavericks,99,2012
Cleveland Cavaliers,91,Indiana Pacers,98,2012
Chicago Bulls,114,Los Angeles Clippers,101,2012
Houston Rockets,93,Memphis Grizzlies,113,2012
Washington Wizards,81,Milwaukee Bucks,102,2012
Miami Heat,103,Minnesota Timberwolves,101,2012
Phoenix Suns,93,New Orleans Hornets,78,2012
Philadelphia 76ers,99,Utah Jazz,102,2012
Indiana Pacers,88,Detroit Pistons,96,2012
Philadelphia 76ers,107,Golden State Warriors,79,2012
Atlanta Hawks,84,Houston Rockets,95,2012
Denver Nuggets,89,Los Angeles Lakers,92,2012
Phoenix Suns,97,Oklahoma City Thunder,107,2012
New York Knicks,114,Sacramento Kings,92,2012
Utah Jazz,89,San Antonio Spurs,104,2012
Memphis Grizzlies,64,Chicago Bulls,104,2012
New Jersey Nets,82,Cleveland Cavaliers,98,2012
Los Angeles Lakers,90,Denver Nuggets,99,2012
Portland Trail Blazers,88,Los Angeles Clippers,93,2012
Charlotte Bobcats,90,Miami Heat,129,2012
Dallas Mavericks,82,Minnesota Timberwolves,99,2012
Toronto Raptors,96,Orlando Magic,102,2012
New Orleans Hornets,80,Sacramento Kings,96,2012
Boston Celtics,94,Washington Wizards,86,2012
Washington Wizards,92,Boston Celtics,100,2012
Oklahoma City Thunder,87,Dallas Mavericks,100,2012
Milwaukee Bucks,86,Denver Nuggets,91,2012
Orlando Magic,78,Detroit Pistons,89,2012
Atlanta Hawks,100,Miami Heat,92,2012
San Antonio Spurs,96,Minnesota Timberwolves,106,2012
Indiana Pacers,108,New Jersey Nets,94,2012
Toronto Raptors,90,New York Knicks,85,2012
Golden State Warriors,91,Phoenix Suns,102,2012
New Orleans Hornets,90,Utah Jazz,94,2012
Atlanta Hawks,74,Chicago Bulls,76,2012
Charlotte Bobcats,101,Cleveland Cavaliers,115,2012
Houston Rockets,99,Los Angeles Lakers,108,2012
Sacramento Kings,96,Memphis Grizzlies,113,2012
Portland Trail Blazers,103,Oklahoma City Thunder,93,2012
Milwaukee Bucks,73,Utah Jazz,85,2012
New Jersey Nets,70,Boston Celtics,89,2012
Phoenix Suns,89,Dallas Mavericks,98,2012
Sacramento Kings,83,Denver Nuggets,110,2012
Chicago Bulls,99,Detroit Pistons,83,2012
Houston Rockets,89,Los Angeles Clippers,117,2012
Indiana Pacers,83,Miami Heat,118,2012
Memphis Grizzlies,90,Minnesota Timberwolves,86,2012
Philadelphia 76ers,101,New Orleans Hornets,93,2012
Charlotte Bobcats,118,New York Knicks,110,2012
Washington Wizards,85,Orlando Magic,103,2012
Golden State Warriors,95,San Antonio Spurs,101,2012
Cleveland Cavaliers,77,Toronto Raptors,92,2012
Miami Heat,116,Atlanta Hawks,109,2012
Los Angeles Lakers,96,Portland Trail Blazers,107,2012
Milwaukee Bucks,100,Sacramento Kings,103,2012
Dallas Mavericks,71,San Antonio Spurs,93,2012
Indiana Pacers,87,Boston Celtics,74,2012
Atlanta Hawks,102,Charlotte Bobcats,96,2012
Golden State Warriors,90,Los Angeles Lakers,97,2012
Cleveland Cavaliers,98,Minnesota Timberwolves,87,2012
Denver Nuggets,96,New Orleans Hornets,88,2012
Houston Rockets,94,Oklahoma City Thunder,109,2012
Chicago Bulls,97,Orlando Magic,83,2012
Detroit Pistons,73,Philadelphia 76ers,96,2012
Portland Trail Blazers,77,Phoenix Suns,102,2012
New Jersey Nets,97,Toronto Raptors,85,2012
Memphis Grizzlies,85,Utah Jazz,94,2012
New York Knicks,99,Washington Wizards,96,2012
Chicago Bulls,94,Atlanta Hawks,109,2012
New Orleans Hornets,81,Dallas Mavericks,96,2012
New York Knicks,103,Detroit Pistons,80,2012
Utah Jazz,88,Golden State Warriors,87,2012
Oklahoma City Thunder,98,Houston Rockets,95,2012
Charlotte Bobcats,77,Indiana Pacers,99,2012
Milwaukee Bucks,86,Los Angeles Clippers,92,2012
Miami Heat,101,New Jersey Nets,90,2012
Toronto Raptors,62,Philadelphia 76ers,97,2012
Denver Nuggets,117,San Antonio Spurs,121,2012
Memphis Grizzlies,82,Los Angeles Lakers,90,2012
San Antonio Spurs,96,Oklahoma City Thunder,108,2012
Milwaukee Bucks,93,Phoenix Suns,109,2012
Cleveland Cavaliers,78,Portland Trail Blazers,98,2012
Orlando Magic,104,Sacramento Kings,97,2012
Minnesota Timberwolves,93,Washington Wizards,72,2012
Detroit Pistons,68,Chicago Bulls,92,2012
New Orleans Hornets,94,Denver Nuggets,81,2012
Atlanta Hawks,106,New Jersey Nets,101,2012
Charlotte Bobcats,87,New York Knicks,91,2012
Indiana Pacers,86,Philadelphia 76ers,96,2012
Minnesota Timberwolves,87,Toronto Raptors,97,2012
Houston Rockets,82,Charlotte Bobcats,70,2012
Dallas Mavericks,100,Detroit Pistons,86,2012
Miami Heat,106,Golden State Warriors,111,2012
Phoenix Suns,83,Los Angeles Lakers,99,2012
Oklahoma City Thunder,100,Memphis Grizzlies,95,2012
San Antonio Spurs,103,Milwaukee Bucks,106,2012
Chicago Bulls,111,Minnesota Timberwolves,100,2012
Sacramento Kings,85,Philadelphia 76ers,112,2012
Los Angeles Clippers,97,Portland Trail Blazers,105,2012
Cleveland Cavaliers,105,Utah Jazz,113,2012
Toronto Raptors,78,Washington Wizards,93,2012
Dallas Mavericks,90,Boston Celtics,85,2012
Washington Wizards,64,Chicago Bulls,78,2012
New Jersey Nets,115,Denver Nuggets,123,2012
Atlanta Hawks,84,Indiana Pacers,96,2012
Miami Heat,89,Los Angeles Clippers,95,2012
Oklahoma City Thunder,95,New Orleans Hornets,85,2012
Philadelphia 76ers,79,New York Knicks,85,2012
Orlando Magic,107,Portland Trail Blazers,104,2012
Houston Rockets,95,San Antonio Spurs,101,2012
Sacramento Kings,98,Toronto Raptors,91,2012
Los Angeles Lakers,90,Utah Jazz,87,2012
Charlotte Bobcats,81,Atlanta Hawks,111,2012
Orlando Magic,117,Golden State Warriors,109,2012
New York Knicks,83,Memphis Grizzlies,94,2012
Detroit Pistons,93,Milwaukee Bucks,102,2012
Cleveland Cavaliers,101,Phoenix Suns,90,2012
Chicago Bulls,88,Boston Celtics,79,2012
Detroit Pistons,98,Charlotte Bobcats,81,2012
Milwaukee Bucks,76,Dallas Mavericks,102,2012
Miami Heat,104,Denver Nuggets,117,2012
Sacramento Kings,89,Houston Rockets,103,2012
Cleveland Cavaliers,92,Los Angeles Lakers,97,2012
Minnesota Timberwolves,87,New Orleans Hornets,80,2012
Washington Wizards,89,Philadelphia 76ers,120,2012
New Jersey Nets,110,Phoenix Suns,103,2012
Portland Trail Blazers,83,San Antonio Spurs,99,2012
Indiana Pacers,95,Toronto Raptors,90,2012
Minnesota Timberwolves,91,Atlanta Hawks,93,2012
Golden State Warriors,100,Charlotte Bobcats,112,2012
Toronto Raptors,64,Chicago Bulls,77,2012
Sacramento Kings,60,Dallas Mavericks,99,2012
Portland Trail Blazers,105,Houston Rockets,107,2012
Boston Celtics,83,Indiana Pacers,97,2012
Los Angeles Lakers,94,Los Angeles Clippers,102,2012
New Orleans Hornets,99,Memphis Grizzlies,108,2012
New York Knicks,92,Oklahoma City Thunder,104,2012
New Jersey Nets,94,Utah Jazz,107,2012
Philadelphia 76ers,103,Washington Wizards,90,2012
Utah Jazz,106,Denver Nuggets,96,2012
Golden State Warriors,99,Detroit Pistons,91,2012
Phoenix Suns,91,San Antonio Spurs,102,2012
Toronto Raptors,84,Atlanta Hawks,93,2012
Oklahoma City Thunder,97,Boston Celtics,88,2012
Cleveland Cavaliers,102,Charlotte Bobcats,94,2012
New Jersey Nets,91,Los Angeles Clippers,101,2012
Dallas Mavericks,70,Los Angeles Lakers,73,2012
Chicago Bulls,86,Memphis Grizzlies,102,2012
Sacramento Kings,86,Minnesota Timberwolves,99,2012
Portland Trail Blazers,84,New Orleans Hornets,77,2012
Orlando Magic,102,New York Knicks,93,2012
Milwaukee Bucks,82,Philadelphia 76ers,94,2012
Houston Rockets,114,Washington Wizards,106,2012
Phoenix Suns,97,Chicago Bulls,118,2012
Golden State Warriors,105,Cleveland Cavaliers,95,2012
Detroit Pistons,80,Houston Rockets,97,2012
San Antonio Spurs,98,Miami Heat,120,2012
Denver Nuggets,105,Milwaukee Bucks,95,2012
Charlotte Bobcats,89,Orlando Magic,96,2012
Los Angeles Clippers,79,Utah Jazz,108,2012
Portland Trail Blazers,89,Atlanta Hawks,92,2012
Toronto Raptors,73,Boston Celtics,96,2012
Dallas Mavericks,89,Los Angeles Clippers,91,2012
Detroit Pistons,85,Minnesota Timberwolves,93,2012
Golden State Warriors,100,New Jersey Nets,107,2012
Memphis Grizzlies,93,New Orleans Hornets,87,2012
Phoenix Suns,91,New York Knicks,88,2012
San Antonio Spurs,85,Orlando Magic,83,2012
Denver Nuggets,108,Philadelphia 76ers,104,2012
Indiana Pacers,88,Sacramento Kings,92,2012
Oklahoma City Thunder,102,Washington Wizards,105,2012
New Orleans Hornets,88,Houston Rockets,90,2012
Los Angeles Lakers,87,Miami Heat,98,2012
Dallas Mavericks,94,Utah Jazz,91,2012
Phoenix Suns,79,Boston Celtics,71,2012
Chicago Bulls,114,Cleveland Cavaliers,75,2012
Memphis Grizzlies,98,Detroit Pistons,81,2012
Indiana Pacers,94,Golden State Warriors,91,2012
Minnesota Timberwolves,101,Los Angeles Clippers,98,2012
Milwaukee Bucks,100,New York Knicks,86,2012
Los Angeles Lakers,80,Orlando Magic,92,2012
Atlanta Hawks,76,Philadelphia 76ers,90,2012
Sacramento Kings,88,San Antonio Spurs,86,2012
Portland Trail Blazers,94,Toronto Raptors,84,2012
Denver Nuggets,108,Washington Wizards,104,2012
Cleveland Cavaliers,94,Atlanta Hawks,121,2012
Charlotte Bobcats,89,Chicago Bulls,95,2012
Portland Trail Blazers,91,Detroit Pistons,94,2012
San Antonio Spurs,102,Houston Rockets,105,2012
Sacramento Kings,95,Memphis Grizzlies,128,2012
Philadelphia 76ers,92,Miami Heat,113,2012
Oklahoma City Thunder,84,New Jersey Nets,74,2012
Dallas Mavericks,83,New Orleans Hornets,81,2012
Denver Nuggets,119,New York Knicks,114,2012
Minnesota Timberwolves,98,Utah Jazz,108,2012
Toronto Raptors,91,Los Angeles Clippers,103,2012
Indiana Pacers,98,Los Angeles Lakers,96,2012
Milwaukee Bucks,91,Miami Heat,82,2012
Charlotte Bobcats,87,New Jersey Nets,97,2012
Boston Celtics,100,Washington Wizards,94,2012
Orlando Magic,56,Boston Celtics,87,2012
New Jersey Nets,95,Chicago Bulls,110,2012
