Miami Heat,80,Boston Celtics,88,2011
Houston Rockets,110,Los Angeles Lakers,112,2011
Phoenix Suns,92,Portland Trail Blazers,106,2011
Boston Celtics,87,Cleveland Cavaliers,95,2011
Charlotte Bobcats,86,Dallas Mavericks,101,2011
Utah Jazz,88,Denver Nuggets,110,2011
Houston Rockets,128,Golden State Warriors,132,2011
Portland Trail Blazers,98,Los Angeles Clippers,88,2011
Atlanta Hawks,119,Memphis Grizzlies,104,2011
Sacramento Kings,117,Minnesota Timberwolves,116,2011
Detroit Pistons,98,New Jersey Nets,101,2011
Milwaukee Bucks,91,New Orleans Hornets,95,2011
Chicago Bulls,95,Oklahoma City Thunder,106,2011
Miami Heat,97,Philadelphia 76ers,87,2011
Indiana Pacers,109,San Antonio Spurs,122,2011
New York Knicks,98,Toronto Raptors,93,2011
Washington Wizards,83,Orlando Magic,112,2011
Phoenix Suns,110,Utah Jazz,94,2011
New York Knicks,101,Boston Celtics,105,2011
Indiana Pacers,104,Charlotte Bobcats,101,2011
Memphis Grizzlies,91,Dallas Mavericks,90,2011
Oklahoma City Thunder,105,Detroit Pistons,104,2011
Los Angeles Clippers,91,Golden State Warriors,109,2011
Orlando Magic,70,Miami Heat,96,2011
Milwaukee Bucks,85,Minnesota Timberwolves,96,2011
Sacramento Kings,100,New Jersey Nets,106,2011
Denver Nuggets,95,New Orleans Hornets,101,2011
Atlanta Hawks,104,Philadelphia 76ers,101,2011
Los Angeles Lakers,114,Phoenix Suns,106,2011
Cleveland Cavaliers,81,Toronto Raptors,101,2011
Washington Wizards,95,Atlanta Hawks,99,2011
Detroit Pistons,91,Chicago Bulls,101,2011
Sacramento Kings,107,Cleveland Cavaliers,104,2011
Denver Nuggets,107,Houston Rockets,94,2011
Philadelphia 76ers,86,Indiana Pacers,99,2011
Minnesota Timberwolves,89,Memphis Grizzlies,109,2011
Charlotte Bobcats,88,Milwaukee Bucks,98,2011
Portland Trail Blazers,100,New York Knicks,95,2011
New Orleans Hornets,99,San Antonio Spurs,90,2011
Dallas Mavericks,99,Los Angeles Clippers,83,2011
Golden State Warriors,83,Los Angeles Lakers,107,2011
Miami Heat,101,New Jersey Nets,78,2011
Utah Jazz,120,Oklahoma City Thunder,99,2011
Portland Trail Blazers,98,Chicago Bulls,110,2011
San Antonio Spurs,97,Los Angeles Clippers,88,2011
Toronto Raptors,108,Sacramento Kings,111,2011
Atlanta Hawks,100,Cleveland Cavaliers,88,2011
Boston Celtics,109,Detroit Pistons,86,2011
Memphis Grizzlies,105,Los Angeles Lakers,124,2011
Minnesota Timberwolves,97,Miami Heat,129,2011
Portland Trail Blazers,90,Milwaukee Bucks,76,2011
Philadelphia 76ers,115,Washington Wizards,116,2011
Detroit Pistons,85,Atlanta Hawks,94,2011
Milwaukee Bucks,102,Boston Celtics,105,2011
Dallas Mavericks,102,Denver Nuggets,101,2011
Memphis Grizzlies,109,Golden State Warriors,115,2011
New Orleans Hornets,107,Houston Rockets,99,2011
Oklahoma City Thunder,92,Los Angeles Clippers,107,2011
Charlotte Bobcats,85,New Jersey Nets,83,2011
Minnesota Timberwolves,86,Orlando Magic,128,2011
Indiana Pacers,75,Philadelphia 76ers,101,2011
San Antonio Spurs,112,Phoenix Suns,110,2011
Los Angeles Lakers,112,Sacramento Kings,100,2011
Toronto Raptors,108,Utah Jazz,125,2011
New York Knicks,120,Chicago Bulls,112,2011
Oklahoma City Thunder,107,Portland Trail Blazers,106,2011
Chicago Bulls,105,Boston Celtics,110,2011
Los Angeles Clippers,104,Denver Nuggets,111,2011
Charlotte Bobcats,90,Detroit Pistons,97,2011
Utah Jazz,78,Golden State Warriors,85,2011
Milwaukee Bucks,94,Indiana Pacers,90,2011
Toronto Raptors,103,Los Angeles Lakers,108,2011
Atlanta Hawks,113,Minnesota Timberwolves,103,2011
Miami Heat,93,New Orleans Hornets,96,2011
Washington Wizards,91,New York Knicks,112,2011
New Jersey Nets,90,Orlando Magic,105,2011
Cleveland Cavaliers,123,Philadelphia 76ers,116,2011
Memphis Grizzlies,118,Phoenix Suns,123,2011
Orlando Magic,91,Charlotte Bobcats,88,2011
Denver Nuggets,103,Dallas Mavericks,92,2011
New Jersey Nets,89,Miami Heat,101,2011
New Orleans Hornets,87,Milwaukee Bucks,81,2011
